label,sublabel,description,styles,bgcolor
可燃ゴミ,,,img/moyasu02.svg,#ea3b13
不燃ゴミ,,,img/moyasanai02.svg,#685ecf
大型可燃ゴミ,,,img/moyasanai02.svg,#ba5ed5
リサイクルゴミ,,,img/bin02.svg,#2dc7aa
